id	number_of_files	data_types
ds003434	18	task-mri
ds004161	144	rs-mri
ds002735	66	rs-mri
ds001894	2907	task-mri
ds003770	56	task-mri
ds000236	0	rs-mri
ds002105	342	rs-mri, task-mri
ds004081	35	task-mri
ds004450	3	rs-mri
ds002241	186	task-mri
ds000172	364	rs-mri
ds003690	225	task-eeg
ds004802	38	task-eeg
ds002551	21	rs-mri
ds004791	200	task-mri
ds005305	165	task-eeg
ds001353	203	rs-mri, task-mri
ds003823	909	rs-mri, task-mri
ds000052	312	task-mri
ds000017	341	task-mri
ds004119	21	task-eeg
ds001547	45	task-mri
ds002674	180	rs-mri
ds005364	97	rs-mri, task-mri
ds005449	584	rs-mri, task-mri
ds004065	20	task-mri
ds001297	297	task-mri
ds005065	0	rs-meg
ds001928	480	rs-mri
ds003468	173	rs-mri
ds003345	75	task-mri
ds004284	18	task-eeg
ds002345	2298	task-mri
ds005279	0	rs-meg
ds004279	60	task-eeg
ds004511	134	task-eeg
ds003495	138	rs-mri, task-mri
ds004554	16	task-eeg
ds002001	0	rs-meg
ds002842	66	task-mri
ds002711	45	task-mri
ds003711	35	task-mri
ds004569	106	rs-mri
ds004943	20	task-mri
ds003455	6	rs-mri
ds004594	20	task-mri
ds004489	45	task-mri
ds003548	32	rs-mri
ds000113	944	rs-mri, task-mri
ds004775	28	task-mri
ds004359	121	task-mri
ds000212	546	task-mri
ds003927	43	task-mri
ds004102	64	task-mri
ds004147	12	task-eeg
ds003838	130	task-eeg
ds004697	164	rs-mri, task-mri
ds000210	558	task-mri
ds000255	72	task-mri
ds004067	80	rs-eeg
ds004022	7	rs-eeg
ds003633	0	rs-meg
ds001545	150	task-mri
ds005366	199	task-mri
ds004513	58	rs-mri, rs-pet
ds004187	9	task-mri
ds003805	1	rs-eeg
ds004556	53	task-mri
ds004657	119	task-eeg
ds004286	64	task-mri
ds000031	1036	rs-mri
ds005342	32	task-eeg
ds005307	7	task-eeg
ds004043	20	task-eeg
ds003553	19	task-mri
ds004006	80	task-mri
ds003516	25	task-eeg
ds005492	35	rs-mri
ds000108	238	task-mri
ds004958	33	rs-mri
ds004636	1260	rs-mri, task-mri
ds002363	66	task-mri
ds001439	252	task-mri
ds003027	537	rs-mri
ds004572	516	task-eeg
ds002737	27	task-mri
ds005262	186	rs-eeg
ds004262	21	task-eeg
ds003772	32	task-mri
ds004998	82	task-meg
ds005126	140	task-mri
ds003436	55	task-mri
ds004965	133	rs-mri
ds001740	100	task-mri
ds004920	283	task-mri
ds001618	432	task-mri
ds000170	420	task-mri
ds000234	0	rs-mri
ds003944	82	rs-eeg
ds004533	86	task-mri
ds003825	50	task-eeg
ds002322	78	rs-mri
ds000011	672	task-mri
ds001621	80	task-mri
ds004496	85	task-mri
ds004841	39	task-eeg
ds005047	60	task-mri
ds000149	210	task-mri
ds004797	6	rs-mri
ds004346	2	task-meg
ds000248	27	rs-meg, task-meg
ds002938	180	task-mri
ds002905	108	task-mri
ds002940	144	rs-mri
ds004456	294	task-mri
ds003146	66	task-mri
ds003103	60	task-mri
ds001131	720	task-mri
ds004386	96	rs-mri
ds004712	99	rs-mri
ds004122	32	task-eeg
ds002733	3	rs-mri
ds005266	68	task-mri
ds002776	312	task-mri
ds000115	3267	task-mri
ds003999	58	rs-mri
ds000214	252	task-mri
ds002879	321	task-mri
ds005207	39	task-eeg
ds002717	276	task-mri
ds001461	567	rs-mri
ds003717	360	task-mri
ds004693	58	task-mri
ds003752	24	rs-mri
ds000008	324	task-mri
ds005106	42	task-eeg
ds005143	357	rs-mri
ds004106	27	task-eeg
ds003453	78	rs-mri
ds001725	160	rs-mri
ds004592	188	task-mri
ds003082	0	rs-meg
ds004616	52	task-mri
ds003343	20	task-eeg
ds003007	174	rs-mri
ds001371	328	rs-fmri, task-mri
ds003801	20	task-eeg
ds001419	14	task-mri
ds000229	105	task-mri
ds001229	540	task-mri
ds004362	109	task-eeg
ds004327	47	task-mri
ds001541	135	rs-mri, task-mri
ds002672	30	task-mri
ds005026	82	rs-mri
ds005238	0	rs-mri
ds003846	50	task-eeg
ds004515	54	task-eeg
ds005139	162	task-mri
ds004280	2	task-mri
ds001607	384	task-mri
ds004024	102	rs-mri, task-eeg
ds001293	630	task-mri
ds003670	62	task-eeg
ds001506	370	task-mri
ds004408	19	rs-eeg
ds002608	123	rs-mri
ds000216	63	rs-mri
ds000253	700	task-mri
ds003509	84	task-eeg
ds004019	62	task-eeg
ds000117	360	rs-meg, task-meg, task-mri
ds004771	61	task-eeg
ds002886	321	task-mri
ds002080	87	rs-mri
ds001762	124	task-mri
ds004902	218	rs-eeg
ds004141	80	task-mri
ds004590	38	task-mri
ds001849	360	rs-eeg
ds002715	24	task-mri
ds002750	9	rs-mri
ds003381	21	rs-mri
ds000133	468	rs-mri
ds003694	28	task-meg
ds004710	1	rs-mri
ds003568	0	rs-meg
ds004078	36	task-meg, task-mri
ds005454	10	task-mri
ds000232	720	task-mri
ds002144	216	task-mri
ds005085	44	task-mri
ds001232	420	task-mri
ds004883	516	task-eeg
ds003669	46	rs-mri, task-mri
ds003059	180	rs-mri
ds002731	354	task-mri
ds005264	21	rs-mri
ds001890	159	rs-mri
ds004264	21	task-eeg
ds003774	240	task-eeg
ds004299	676	task-mri
ds003789	64	task-mri
ds004648	88	rs-mri
ds003430	76	task-mri
ds004120	128	task-eeg
ds004926	320	task-mri
ds004630	147	task-mri
ds002320	246	rs-mri, task-mri
ds004589	495	task-mri
ds004158	20	rs-mri
ds001357	252	task-mri
ds004574	146	task-eeg
ds004259	385	rs-mri
ds004469	128	rs-mri, task-mri
ds004301	11	task-mri
ds002278	116	task-mri
ds003555	30	rs-eeg
ds004000	86	rs-eeg
ds004843	14	task-eeg
ds004186	5786	rs-eeg
ds004557	35	task-mri
ds004980	17	task-eeg
ds002841	174	rs-mri
ds003346	141	rs-mri
ds004656	30	task-mri
ds002797	66	rs-mri
ds000030	14028	task-mri
ds000168	245	task-mri
ds001168	880	rs-mri
ds004860	31	task-eeg
ds001600	20	rs-mri
ds004367	40	task-eeg
ds000254	91	task-mri
ds004477	9	task-eeg
ds000110	198	task-mri
ds001110	760	task-mri
ds001499	336	task-mri
ds004146	2017	rs-mri, task-mri
ds001720	1020	rs-mri
ds004597	27	rs-mri, task-mri
ds004103	66	task-mri
ds000171	546	task-mri
ds005383	240	task-eeg
ds002242	105	task-mri
ds004752	68	task-eeg
ds003242	128	task-mri
ds000235	0	rs-mri
ds004884	1258	rs-mri
ds003592	602	rs-mri
ds001235	120	task-mri
ds002773	171	task-mri
ds005263	67	rs-mri, task-mri
ds004226	28	task-mri
ds003858	12	task-mri
ds005127	0	rs-mri
ds003437	108	rs-mri
ds002898	162	rs-mri, rs-pet
ds004959	51	task-mri
ds000051	156	task-mri
ds004306	15	task-eeg
ds001525	170	task-mri
ds000208	683	rs-fmri, rs-mri
ds003517	17	task-eeg
ds004844	68	task-eeg
ds004007	25	task-mri
ds004042	40	task-mri
ds004493	16	task-mri
ds000109	395	rs-mri, task-mri
ds003822	25	task-eeg
ds003061	39	task-eeg
ds004219	20	rs-mri
ds003709	51	task-mri
ds004670	205	task-mri
ds004635	48	task-eeg
ds000053	1239	task-mri
ds005118	10	rs-mri
ds004118	247	task-eeg
ds003987	69	task-eeg
ds003550	76	task-mri
ds004040	26	task-eeg
ds002550	0	rs-meg
ds005040	98	rs-mri
ds004341	28	task-mri
ds005304	35	rs-mri
ds002614	3	rs-mri
ds000237	91	task-mri
ds003104	2	task-meg
ds003947	61	rs-eeg
ds002691	60	task-eeg
ds004715	22	rs-mri
ds004381	51	rs-eeg
