id	data_type	total_bytes	total_duration	total_participants
ds001849	rs-eeg	143371288368	0.0	60
ds002158	rs-eeg	116225249799	0.0	60
ds002814	rs-eeg	69326870460	0.0	63
ds003380	rs-eeg	1535200466	0.0	12
ds003421	rs-eeg	42487618583	28489.665	20
ds003555	rs-eeg	16177344500	0.0	30
ds003626	rs-eeg	19624683765	0.0	10
ds003645	rs-eeg	18189797484	0.0	18
ds003702	rs-eeg	18784095987	0.0	47
ds003751	rs-eeg	5057796855	0.0	40
ds003768	rs-eeg	70125099245	0.0	33
ds003775	rs-eeg	4815768024	0.0	111
ds003805	rs-eeg	9220078	0.0	1
ds003810	rs-eeg	72362870	0.0	10
ds003944	rs-eeg	6606263393	0.0	82
ds003947	rs-eeg	13466474481	0.0	61
ds003969	rs-eeg	58478035454	0.0	98
ds004000	rs-eeg	24161098626	0.0	43
ds004022	rs-eeg	646520319	0.0	7
ds004067	rs-eeg	108218048609	0.0	80
ds004075	rs-eeg	7936059257	0.0	29
ds004166	rs-eeg	83074435656	0.0	71
ds004186	rs-eeg	226872282980	0.0	2951
ds004200	rs-eeg	7739537276	0.0	20
ds004381	rs-eeg	4978714663	0.0	14
ds004408	rs-eeg	19439392068	0.0	19
ds004504	rs-eeg	2829887865	0.0	88
ds004563	rs-eeg	1924420451	3781.5171	1
ds004598	rs-eeg	28629938883	0.0	9
ds004718	rs-eeg	20952987706	0.0	51
ds004745	rs-eeg	2253	0.0	1
ds004816	rs-eeg	879962031	0.0	2
ds004817	rs-eeg	1604026096	0.0	3
ds004840	rs-eeg	628608731	0.0	9
ds004902	rs-eeg	8826812464	0.0	71
ds005028	rs-eeg	1563793395	0.0	11
ds005079	rs-eeg	1809189196	0.0	1
ds005170	rs-eeg	56223116970	0.0	3
ds005189	rs-eeg	17254925021	0.0	30
ds005262	rs-eeg	722209800	0.0	12
ds005273	rs-eeg	250630100	0.0	1
ds005420	rs-eeg	390181204	0.0	37
