id	data_type	total_bytes	total_duration	total_participants
ds000117	rs-meg	16951284990	0.0	9
ds000246	rs-meg	1141063	0.0	14
ds000247	rs-meg	2994047	0.0	42
ds000248	rs-meg	375508044	0.0	9
ds002001	rs-meg	289713	0.0	33
ds002550	rs-meg	30399972	0.0	66
ds002761	rs-meg	5255373	0.0	75
ds002908	rs-meg	124017	0.0	39
ds003082	rs-meg	1139787	0.0	6
ds003392	rs-meg	2987118959	0.0	1
ds003568	rs-meg	3832998	0.0	51
ds003633	rs-meg	78278811	0.0	12
ds003645	rs-meg	95503918880	0.0	19
ds003922	rs-meg	1420962011	0.0	1
ds004011	rs-meg	14553239	0.0	22
ds004012	rs-meg	81254267446	0.0	29
ds004107	rs-meg	4827476559	0.0	1
ds004212	rs-meg	499736239	0.0	5
ds004215	rs-meg	38069914	0.0	123
ds004229	rs-meg	194555365	0.0	1
ds004276	rs-meg	92677432	0.0	1
ds004278	rs-meg	1339757	0.0	30
ds004398	rs-meg	1492	0.0	1
ds004738	rs-meg	6587101129	0.0	4
ds004837	rs-meg	112569406804	0.0	60
ds005065	rs-meg	3798827	0.0	21
ds005234	rs-meg	11607277757	0.0	4
ds005279	rs-meg	11700	0.0	30
