id	data_type	total_bytes	total_duration	total_participants
ds000031	rs-mri	885964549141	140041.32620172127	7
ds000109	rs-mri	0	0.0	1
ds000113	rs-mri	222639265120	5863.8	24
ds000119	rs-mri	57085	0.0	7
ds000133	rs-mri	20895310260	0.0	234
ds000172	rs-mri	19432143031	0.0	91
ds000201	rs-mri	6741597807	20189.995	14
ds000204	rs-mri	80971961	0.0	7
ds000208	rs-mri	38243818650	0.0	683
ds000216	rs-mri	18548727732	0.0	63
ds000220	rs-mri	20061345983	0.0	182
ds000221	rs-mri	2549430095415	0.0	2226
ds000228	rs-mri	29972873385	0.0	1085
ds000234	rs-mri	1411735311	0.0	35
ds000235	rs-mri	528882704	0.0	28
ds000236	rs-mri	2454697557	0.0	162
ds000243	rs-mri	32852612219	0.0	840
ds000245	rs-mri	11630663142	0.0	315
ds001168	rs-mri	445296779840	0.0	220
ds001178	rs-mri	17835239520	0.0	140
ds001226	rs-mri	13663098770	0.0	360
ds001353	rs-mri	1052873927	0.0	7
ds001379	rs-mri	38388257964	0.0	7
ds001386	rs-mri	31895032869	0.0	294
ds001408	rs-mri	54194855701	0.0	364
ds001461	rs-mri	16763368699	0.0	567
ds001529	rs-mri	6199925965	0.0	190
ds001541	rs-mri	24615300270	27200.0	60
ds001566	rs-mri	4854848420	0.0	4
ds001591	rs-mri	492921244	0.0	8
ds001595	rs-mri	114412460	0.0	4
ds001600	rs-mri	18633748	0.0	4
ds001612	rs-mri	38038019400	0.0	96
ds001653	rs-mri	37231888764	0.0	116
ds001720	rs-mri	106149395736	0.0	1020
ds001725	rs-mri	21409330908	0.0	160
ds001728	rs-mri	141048712	0.0	4
ds001747	rs-mri	254024537276	0.0	368
ds001769	rs-mri	117736400272	0.0	64
ds001838	rs-mri	6953502860	0.0	12
ds001875	rs-mri	31908519369	0.0	27
ds001890	rs-mri	28849053150	0.0	90
ds001907	rs-mri	4908516	0.0	111
ds001926	rs-mri	449032944831	0.0	96
ds001927	rs-mri	67297231443	0.0	69
ds001928	rs-mri	36061156233	0.0	120
ds001978	rs-mri	111042939831	0.0	42
ds001984	rs-mri	162169356618	0.0	45
ds002033	rs-mri	4545811776	0.0	9
ds002076	rs-mri	59257776816	0.0	39
ds002080	rs-mri	3331844784	0.0	87
ds002105	rs-mri	503434872915	128549.17881303301	54
ds002134	rs-mri	30536745363	0.0	93
ds002153	rs-mri	2580497145	0.0	3
ds002154	rs-mri	8738437896	0.0	72
ds002156	rs-mri	1468317768	0.0	3
ds002169	rs-mri	752280557004	0.0	99
