id	data_type	total_bytes	total_duration	total_participants
ds001785	task-eeg	106807194820	354020.90546875	72
ds001787	task-eeg	24429200076	371988.46875	96
ds001971	task-eeg	103017586752	38069.478515625	60
ds002034	task-eeg	32528002386	141069.509765625	42
ds002218	task-eeg	6267397755	176048.7832036875	54
ds002336	task-eeg	40182614196	54000.0	30
ds002338	task-eeg	57922222743	49980.0	51
ds002578	task-eeg	4199497251	15656.864414062198	6
ds002680	task-eeg	29499972090	17045.904	42
ds002691	task-eeg	2443413588	68622.1320144828	60
ds002718	task-eeg	12498634077	158767.50817992	54
ds002720	task-eeg	7691000031	161766.129	54
ds002721	task-eeg	10796534733	244296.086376	93
ds002778	task-eeg	1714314540	2022.17578125	93
ds002893	task-eeg	24788292267	388010.2643261994	147
ds003004	task-eeg	116113554684	521750.89453125	102
ds003039	task-eeg	25203379179	189133.4287603221	57
ds003061	task-eeg	7265290992	27482.953125	39
ds003194	task-eeg	396655688	39177.43	30
ds003195	task-eeg	253904522	25769.77	20
ds003343	task-eeg	695576786	3597176.0	20
ds003420	task-eeg	50562492594	23759.055	23
ds003458	task-eeg	5061242519	36467.846	23
ds003474	task-eeg	17810832172	129290.72200000001	122
ds003478	task-eeg	11409769805	57948.144	122
ds003490	task-eeg	6275502843	43605.582	50
ds003506	task-eeg	17394921258	123611.558	56
ds003509	task-eeg	23897379335	170793.518	56
ds003516	task-eeg	8128684410	79032.515	25
ds003517	task-eeg	6234146392	12043.384	17
ds003518	task-eeg	42389757624	318472.754	110
ds003519	task-eeg	9623049473	72408.116	27
ds003522	task-eeg	27223237545	201366.384	96
ds003523	task-eeg	40303536940	298019.24	91
ds003570	task-eeg	38783070049	94206.2688794676	40
ds003574	task-eeg	7477610553	533403.393	18
ds003602	task-eeg	78575667718	501287.27499999997	118
ds003620	task-eeg	18299425173	80512.72899999999	44
ds003638	task-eeg	16397667121	145138.736328125	57
ds003655	task-eeg	21756888995	409767.602	156
ds003670	task-eeg	77548541388	261979.332	25
ds003690	task-eeg	23043378980	92640.76	75
ds003710	task-eeg	10934701795	163274.71	13
ds003739	task-eeg	11742606812	70655.2777266101	30
ds003753	task-eeg	4889397818	35568.198	25
ds003774	task-eeg	10863704909	715531.1999292444	20
ds003800	task-eeg	198438604	4420.0	13
ds003801	task-eeg	1233073480	48021.932	20
ds003822	task-eeg	6241057785	45938.316	25
ds003825	task-eeg	44449264592	162666.809	50
ds003838	task-eeg	107597228859	570416.003	65
ds003846	task-eeg	10480314982	78950.35117702298	19
ds003885	task-eeg	49540401947	94750.62	24
ds003887	task-eeg	49089341749	94342.699	24
ds003987	task-eeg	27451674532	186322.34876068312	23
ds004010	task-eeg	24844856837	94649.879	24
ds004015	task-eeg	6472866098	157694.184	36
ds004017	task-eeg	22471483110	40776.5546875	21
ds004018	task-eeg	11324874069	32717.878	16
ds004019	task-eeg	18550013032	76687.362	62
ds004024	task-eeg	1083040617524	41453.30205	13
ds004033	task-eeg	21270387904	153024.3155431671	18
ds004040	task-eeg	12440253971	67655.88554687491	13
ds004043	task-eeg	16582817125	16067.50175	20
ds004105	task-eeg	21876472510	46835.2421875	17
ds004106	task-eeg	72590724528	82258.3232421875	27
ds004117	task-eeg	6229860629	14223.1566188249	23
ds004118	task-eeg	133503914099	229049.39404296875	156
ds004119	task-eeg	59203159372	67130.9990234375	21
ds004120	task-eeg	324791213592	465300.2197265625	109
ds004121	task-eeg	25671312570	39933.3720703125	21
ds004122	task-eeg	38826645051	81104.142578125	32
ds004123	task-eeg	18814041707	79664.5830078125	29
ds004147	task-eeg	4290941954	33793.87	12
ds004148	task-eeg	32936730858	1496.866	60
ds004151	task-eeg	24845056003	52700.69	57
ds004152	task-eeg	5115893297	40984.558	21
ds004196	task-eeg	593041338	5108.005999999999	4
ds004252	task-eeg	1392177741	664.70025	1
ds004256	task-eeg	19516166720	151974.14420117188	53
ds004262	task-eeg	3727984996	29761.423	21
ds004264	task-eeg	3334318709	26564.933999999997	21
ds004279	task-eeg	27082265760	190601.129	56
ds004284	task-eeg	17562661631	26583.883	18
ds004295	task-eeg	33828914800	123515.451171875	26
ds004306	task-eeg	542025766	65459.4892578125	12
ds004315	task-eeg	10232597584	74582.004	50
ds004317	task-eeg	18270987225	134692.094	50
ds004324	task-eeg	2637682964	68227.436	26
ds004347	task-eeg	2574264294	22156.859375	24
ds004348	task-eeg	8793619829	222060.0	9
ds004350	task-eeg	22949207835	97167.5937500002	24
ds004356	task-eeg	226526803910	148590.17684557886	22
ds004357	task-eeg	20769753440	40095.611	16
ds004362	task-eeg	8347262507	12992.5	109
ds004367	task-eeg	30039337488	87922.0	40
ds004368	task-eeg	1045568369	30407.2175000004	39
ds004369	task-eeg	2154451412	109841.0	41
ds004388	task-eeg	732876210326	45923.2863	40
ds004389	task-eeg	404264469818	47382.8339	26
ds004395	task-eeg	9582343999457	31375304.63952344	364
ds004444	task-eeg	52204970237	195243.682	30
ds004446	task-eeg	31382980658	112505.726	30
ds004447	task-eeg	22253510525	73600.291	22
ds004448	task-eeg	40980943826	141763.051	56
ds004460	task-eeg	63428681226	97921.96198666426	20
ds004475	task-eeg	51504262551	96742.068359375	30
ds004477	task-eeg	23989919090	48377.7490234375	9
ds004502	task-eeg	63828219300	330383.294	48
ds004505	task-eeg	33767706274	101545.65350000001	25
ds004511	task-eeg	204409412015	204044.621	45
ds004515	task-eeg	9985119210	72045.976	54
ds004519	task-eeg	13486845807	213200.346	40
ds004520	task-eeg	11175906754	176633.79700000002	33
ds004521	task-eeg	11470004842	181287.69900000002	34
ds004532	task-eeg	23365587830	174581.942	110
ds004554	task-eeg	9432067512	23676.304	16
ds004561	task-eeg	104871727731	40376.7004	23
ds004563	task-eeg	106392785453	220765.8555	39
ds004572	task-eeg	46776226777	191689.47143673242	52
ds004574	task-eeg	14467967660	108471.874	146
ds004577	task-eeg	684355364	45157.37	103
ds004579	task-eeg	25896728940	198758.306	139
ds004580	task-eeg	17005726116	129161.878	147
ds004582	task-eeg	315592308928	38072.977399999996	73
ds004584	task-eeg	3078209096	0.0	149
ds004587	task-eeg	235136845856	17467.4403	103
ds004588	task-eeg	560002093	16795.3333333333	42
ds004595	task-eeg	8319572568	58518.934	53
ds004602	task-eeg	79364444614	849657.2518653242	182
ds004603	task-eeg	29391611101	108073.185546875	37
ds004621	task-eeg	83086829282	138311.683	42
ds004625	task-eeg	67069082603	54245.036526815704	32
ds004626	task-eeg	21336333416	76492.783	52
ds004635	task-eeg	27971369064	108550.1135464761	48
ds004657	task-eeg	46237252272	84400.0509033204	24
ds004660	task-eeg	7782400102	43577.3076171876	21
ds004706	task-eeg	1426103741239	1659001.6635742188	34
ds004745	task-eeg	213614013	5086.905	5
