id	data_type	total_bytes	total_duration	total_participants
ds000117	task-meg	749074011696	66717.9315	144
ds000248	task-meg	1157435910	2108.2640636489537	9
ds003104	task-meg	687447810	1769.2798502836652	2
ds003352	task-meg	230092807259	56009.129	18
ds003392	task-meg	7767396207	2940.8185	11
ds003483	task-meg	26285771880	39740.915	21
ds003682	task-meg	227225168668	8726.275	28
ds003694	task-meg	234581974820	42016.546	28
ds003703	task-meg	99158104822	30784.155	34
ds003922	task-meg	79800585548	6565.184	13
ds004012	task-meg	2854138659	3.0	1
ds004078	task-meg	325188873879	2879.158	12
ds004107	task-meg	78029015260	72835.95187763285	8
ds004229	task-meg	1714376573	1049.1633333333334	1
ds004276	task-meg	12372873080	17650.59	18
ds004330	task-meg	165027270791	13765.117	30
ds004346	task-meg	3853390367	1432.705	1
ds004483	task-meg	25146589374	892.216	19
ds004998	task-meg	173691708948	60114.9596790845	20
ds005107	task-meg	29610549601	10815.26	21
ds005234	task-meg	158722415195	42109.303	71
ds005241	task-meg	150839250588	69857.09700000001	24
