id	data_type	total_bytes	total_duration	total_participants
ds000001	task-mri	28137009969	117140.86000000002	194
ds000002	task-mri	33943652088	238932.636	204
ds000003	task-mri	3938265564	46514.340000000004	156
ds000005	task-mri	21583467240	91584.0	192
ds000006	task-mri	55723176912	133956.0	168
ds000007	task-mri	40325201112	255199.56	240
ds000008	task-mri	25086013272	114643.5	168
ds000009	task-mri	56039425994	452643.99322600605	253
ds000011	task-mri	28624882236	246956.808	168
ds000017	task-mri	24177714297	119503.98421219499	88
ds000030	task-mri	501962063428	5149687.168067198	1904
ds000051	task-mri	25398748344	62400.0	156
ds000052	task-mri	14087649636	137994.0	156
ds000053	task-mri	1283385062540	465573.332	413
ds000101	task-mri	15214500192	75222.0	252
ds000102	task-mri	16676148319	79488.0	288
ds000105	task-mri	20172774908	18117.0	66
ds000107	task-mri	33842465283	258611.65000000002	539
ds000108	task-mri	32882295516	88826.262	238
ds000109	task-mri	30001790948	141080.0	395
ds000110	task-mri	59947537386	71387.547	198
ds000113	task-mri	798182818304	115419.0776	64
ds000114	task-mri	14676748996	287104.41620000004	70
ds000115	task-mri	63522852932	760664.833764	1089
ds000116	task-mri	27920594682	95433.849	153
ds000117	task-mri	46846373607	57026.097	144
ds000119	task-mri	66968792905	137739.0	504
ds000120	task-mri	14912593745	54652.5	182
ds000121	task-mri	21358210384	56154.0	196
ds000122	task-mri	18921092531	72406.4	187
ds000138	task-mri	10300162833	172800.0	144
ds000140	task-mri	102943554644	92106.112	231
ds000144	task-mri	14308022029	76286.0	315
ds000148	task-mri	124063576582	241474.0581	539
ds000149	task-mri	21905950920	78177.40847	105
ds000157	task-mri	14850215253	155862.90000000002	270
ds000158	task-mri	85411017237	893172.0	1519
ds000164	task-mri	9758319179	104087.319	196
ds000168	task-mri	24385566149	316050.0	245
ds000170	task-mri	10982198633	36120.0	105
ds000171	task-mri	49585723670	170037.0	273
ds000200	task-mri	1561282562	29400.0	98
ds000201	task-mri	1038600041042	2880305.8525	588
ds000203	task-mri	14915179134	122461.83	234
ds000205	task-mri	19862179372	54547.339	77
ds000210	task-mri	181598760738	132246.0	279
